Title;Genre;Premiere;No_of_Seasons;No_of_Episodes
Sweet Home;Horror;December 18, 2020;1;10
Home for Christmas;Comedy Drama;December 5, 2019;2;12
Ragnarok;Fantasy Superhero Drama;January 31, 2020;1;6
Bloodride;Horror Anthology;March 13, 2020;1;6
Girls from Ipanema;Period Drama;March 22, 2019;2;13
Sintonia;Drama;August 9, 2019;1;6
Spectros;Thriller;February 20, 2020;1;7
Reality Z;Zombie Horror;June 10, 2020;1;10
Kissing Game;Thriller;July 17, 2020;1;6
Good Morning, Verªnica;Crime Drama;October 1, 2020;1;8
Elite;Crime Teen Drama;October 5, 2018;3;24
Diablero;Horror Fantasy Thriller;December 21, 2018;2;14
Always a Witch;Supernatural Drama;February 1, 2019;2;18
Monarca;Family Drama;September 13, 2019;2;18
Hache;Thriller;November 1, 2019;1;8
The Neighbor;Superhero Comedy;December 31, 2019;1;10
Puerta 7;Sports Crime Drama;February 21, 2020;1;8
Unstoppable;Comedy Drama;February 28, 2020;1;10
Almost Happy;Comedy;May 1, 2020;1;10
Valeria;Dramedy;May 8, 2020;1;8
The Unremarkable Juanquini;Comedy;May 15, 2020;1;7
Control Z;Teen Drama;May 22, 2020;1;8
The Search;Crime Anthology;June 12, 2020;6;10
Dark Desire;Thriller;July 15, 2020;1;18
The Great Heist;Crime Drama;August 14, 2020;6;10
Someone Has to Die;Drama;October 16, 2020;3;10
The Minions of Midas;Thriller;November 13, 2020;6;10
The Mess You Leave Behind;Drama;December 11, 2020;8;10
Daughter From Another Mother;Comedy;January 20, 2021;1;9
The Gift;Supernatural Drama;December 27, 2019;2;16
Love 101;Teen Drama;April 24, 2020;1;8
Ethos;Drama;November 12, 2020;1;8
The Victims' Game;Thriller;April 30, 2020;1;8
The Woods;Thriller;June 12, 2020;6;10
Love & Anarchy;Romantic Comedy;November 4, 2020;1;8
Paranormal;Supernatural Drama;November 5, 2020;1;6
Paava Kadhaigal;Anthology;December 18, 2020;1;4
Equinox;Thriller;December 30, 2020;1;6
Jack Whitehall: Travels with My Father;Travel Documentary;September 22, 2017;4;15
Somebody Feed Phil;Travel Documentary;January 12, 2018;4;22
Dirty Money;Documentary;January 26, 2018;2;12
Ugly Delicious;Travel Documentary;February 23, 2018;2;12
Dogs;Documentary;November 16, 2018;1;6
Sunderland 'Til I Die;Sports;December 14, 2018;2;14
Formula 1: Drive to Survive;Sports;March 8, 2019;2;20
The Chef Show;Culinary Art;June 7, 2019;2;25
Taco Chronicles;Culinary Art;July 12, 2019;2;13
