Title;Genre;Premiere;Runtime;IMDB Score;Language
Ram Dass, Going Home;Documentary;06/04/2018;31;71;English
ReMastered: Tricky Dick & the Man in Black;Documentary;02/11/2018;58;71;English
Rooting for Roona;Documentary;15/10/2020;41;71;Bengali
The Devil All the Time;Psychological thriller;16/09/2020;138;71;English
The Dig;Drama;29/01/2021;112;71;English
The Great Hack;Documentary;24/07/2019;114;71;English
The White Tiger;Drama;22/01/2021;125;71;English
To All the Boys I've Loved Before;Romantic comedy;17/08/2018;99;71;English
American Murder: The Family Next Door;Documentary;30/09/2020;82;72;English
Audrie & Daisy;Documentary;23/09/2016;98;72;English
First They Killed My Father;Drama;15/09/2017;136;72;Khmer/English/French
Fyre: The Greatest Party That Never Happened;Documentary;18/01/2019;97;72;English
Into the Inferno;Documentary;28/10/2016;107;72;English
LA Originals;Documentary;10/04/2020;92;72;English
Ladies First;Documentary;08/03/2018;39;72;English/Hindi
Love per Square Foot;Romantic comedy;14/02/2018;133;72;Hindi
Paddleton;Drama-Comedy;22/02/2019;89;72;English
Private Life;Drama;05/10/2018;124;72;English
Seventeen;Coming-of-age comedy-drama;18/10/2019;99;72;Spanish
Sometimes;Drama;01/05/2018;101;72;Tamil
Soni;Crime drama;18/01/2019;97;72;Hindi
The 40-Year-Old Version;Comedy;09/10/2020;124;72;English
The Disciple;Drama;30/04/2021;129;72;Marathi
The Edge of Democracy;Documentary;19/06/2019;121;72;Portuguese
The King;Historical drama;01/11/2019;140;72;English
The Road to El Camino: A Breaking Bad Movie;Making-of;29/10/2019;13;72;English
The Siege of Jadotville;War;07/10/2016;108;72;English
Zion ;Documentary;10/08/2018;11;72;English
Dolemite Is My Name;Biopic;25/10/2019;118;73;English
El Camino: A Breaking Bad Movie;Crime drama;11/10/2019;121;73;English
Extremis;Documentary;13/09/2016;24;73;English
Father Soldier Son;Documentary;17/07/2020;100;73;English
Get Me Roger Stone;Documentary;12/05/2017;101;73;English
I'm No Longer Here;Drama;27/05/2020;105;73;Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ;Documentary;08/07/2020;96;73;Spanish/English
Octonauts & the Great Barrier Reef;Animation;13/10/2020;47;73;English
Okja;Action-adventure;28/06/2017;121;73;English/Korean
On My Skin;Crime drama;12/09/2018;100;73;Italian
Raat Akeli Hai;Thriller;31/07/2020;149;73;Hindi
ReMastered: Massacre at the Stadium;Documentary;11/01/2019;64;73;English/Spanish
ReMastered: The Two Killings of Sam Cooke;Documentary;08/02/2019;64;73;English
Secrets of the Saqqara Tomb;Documentary;28/10/2020;114;73;English/Arabic
Sitara: Let Girls Dream;Animation / Short;08/03/2020;15;73;English
Sky Ladder: The Art of Cai Guo-Qiang;Documentary;14/10/2016;79;73;English/Mandarin
Team Foxcatcher;Documentary;29/04/2016;90;73;English/Russian
The Ballad of Buster Scruggs;Western;16/11/2018;132;73;English
The Death and Life of Marsha P. Johnson;Documentary;06/10/2017;105;73;English
The Fundamentals of Caring;Comedy-drama;24/06/2016;97;73;English
The Other One: The Long Strange Trip of Bob Weir;Documentary;22/05/2015;83;73;English
American Factory;Documentary;21/08/2019;110;74;English
Fire in Paradise;Documentary;01/11/2019;39;74;English
Long Shot;Documentary;29/09/2017;40;74;English
Miss Americana;Documentary;31/01/2020;85;74;English
Period. End of Sentence.;Documentary;12/02/2019;26;74;English/Hindi
Shawn Mendes: Live in Concert;Concert Film;25/11/2020;87;74;English
Shirkers;Documentary;26/10/2018;97;74;English
The Black Godfather;Documentary;07/06/2019;118;74;English
The Irishman: In Conversation;Aftershow / Interview;27/11/2019;23;74;English
The Speed Cubers;Documentary;29/07/2020;40;74;English
They'll Love Me When I'm Dead;Documentary;02/11/2018;98;74;English
Tig;Documentary;17/07/2015;80;74;English
Barbra: The Music, The Mem'ries, The Magic!;Concert Film;22/11/2017;108;75;English
Blackpink: Light Up the Sky;Documentary;14/10/2020;79;75;Korean
City of Joy;Documentary;07/09/2018;74;75;English
Dick Johnson Is Dead;Documentary;02/10/2020;90;75;English
Homecoming: A Film by Beyonce ;Documentary;17/04/2019;137;75;English
Invader Zim: Enter the Florpus;Animation / Science Fiction;16/08/2019;71;75;English
Joan Didion: The Center Will Not Hold;Documentary;27/10/2017;98;75;English
John Mulaney & the Sack Lunch Bunch;Variety show;24/12/2019;70;75;English
Reversing Roe;Documentary;13/09/2018;99;75;English
The White Helmets;Documentary;16/09/2016;40;75;English
Athlete A;Documentary;24/06/2020;104;76;English
Ludo;Anthology/Dark comedy;12/11/2020;149;76;Hindi
Quincy;Documentary;21/09/2018;124;76;English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere;Documentary;12/06/2019;144;76;English
Tell Me Who I Am;Documentary;18/10/2019;85;76;English
The Bleeding Edge;Documentary;27/07/2018;100;76;English
The Social Dilemma;Documentary;09/09/2020;94;76;English
The Two Popes;Drama;20/12/2019;125;76;English
What Happened, Miss Simone?;Documentary;26/06/2015;84;76;English
Yeh Ballet;Drama;21/02/2020;117;76;Hindi
Anima;Musical / Short;27/06/2019;15;77;English
Beasts of No Nation;War drama;16/10/2015;136;77;English/Akan
Brene Brown: The Call to Courage;Documentary;19/04/2019;76;77;English
Crip Camp: A Disability Revolution;Documentary;25/03/2020;108;77;English
Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ;Documentary;17/11/2017;94;77;English
Justin Timberlake + The Tennessee Kids;Concert Film;12/10/2016;90;77;English
Road to Roma;Making-of;11/02/2020;72;77;Spanish
Roma;Drama;14/12/2018;135;77;Spanish
If Anything Happens I Love You;Animation / Short;20/11/2020;12;78;English
The Irishman;Crime drama;27/11/2019;209;78;English
The Trial of the Chicago 7;Drama;16/10/2020;130;78;English
A Secret Love;Documentary;29/04/2020;82;79;English
Icarus;Documentary;04/08/2017;120;79;English
Marriage Story;Drama;06/12/2019;136;79;English
The Ivory Game;Documentary;04/11/2016;112;79;English
Struggle: The Life and Lost Art of Szukaiski;Documentary;21/12/2018;105;8;English
Chasing Coral ;Documentary;14/07/2017;89;81;English
My Octopus Teacher;Documentary;07/09/2020;85;81;English
Rising Phoenix;Documentary;26/08/2020;106;81;English
13th;Documentary;07/10/2016;100;82;English
Disclosure: Trans Lives on Screen;Documentary;19/06/2020;107;82;English
Klaus;Animation/Christmas/Comedy/Adventure;15/11/2019;97;82;English
Seaspiracy;Documentary;24/03/2021;89;82;English
The Three Deaths of Marisela Escobedo;Documentary;14/10/2020;109;82;Spanish
Cuba and the Cameraman ;Documentary;24/11/2017;114;83;English
Dancing with the Birds;Documentary;23/10/2019;51;83;English
Ben Platt: Live from Radio City Music Hall;Concert Film;20/05/2020;85;84;English
Taylor Swift: Reputation Stadium Tour;Concert Film;31/12/2018;125;84;English
Winter on Fire: Ukraine's Fight for Freedom;Documentary;09/10/2015;91;84;English/Ukranian/Russian
Springsteen on Broadway;One-man show;16/12/2018;153;85;English
Emicida: AmarElo - It's All For Yesterday;Documentary;08/12/2020;89;86;Portuguese
David Attenborough: A Life on Our Planet;Documentary;04/10/2020;83;9;English

