Title;Genre;Premiere;Runtime;IMDB Score;Language
Kevin Hart's Guide to Black History;Variety show;08/02/2019;63;55;English
Love Wedding Repeat;Romantic comedy;10/04/2020;100;55;English
Mute;Science fiction/Mystery;23/02/2018;126;55;English
Òlòt?ré;Crime drama;02/10/2020;106;55;English
Red Dot;Thriller;11/02/2021;86;55;Swedish
Ride or Die;Psychological thriller drama;15/04/2021;142;55;Japanese
Step Sisters;Comedy;19/01/2018;108;55;English
The Cloverfield Paradox;Science fiction;04/02/2018;102;55;English
The Knight Before Christmas;Romantic comedy;21/11/2019;92;55;English
The Legacy of a Whitetail Deer Hunter;Adventure/Comedy;06/07/2018;83;55;English
The Package;Black comedy;10/08/2018;94;55;English
Unicorn Store;Comedy;05/04/2019;92;55;English
Wine Country;Comedy;10/05/2019;103;55;English
Bomb Scared;Black comedy;12/10/2017;89;56;Spanish/Basque
Brahman Naman;Comedy;07/07/2016;95;56;English
Double Dad;Comedy-drama;15/01/2021;103;56;Portuguese
Falling Inn Love;Romantic comedy;29/08/2019;97;56;English
Hold the Dark;Thriller;28/09/2018;125;56;English
Love, Guaranteed;Romantic comedy;03/09/2020;91;56;English
One-Way to Tomorrow;Romance;19/06/2020;90;56;Turkish
Sarah Cooper: Everything's Fine;Variety show;27/10/2020;49;56;English
The Last Laugh;Comedy-drama;11/01/2019;98;56;English
The Last Paradiso;Romantic drama;05/02/2021;107;56;Italian
The Midnight Sky;Science fiction;23/12/2020;118;56;English
The Paramedic;Thriller;16/09/2020;94;56;Spanish
The Sleepover;Comedy;21/08/2020;103;56;English
Vampires vs. the Bronx;Horror comedy;02/10/2020;86;56;English
Why Did You Kill Me?;Documentary;14/04/2021;83;56;English
A Week Away;Christian musical;26/03/2021;97;57;English
Caught by a Wave;Romantic teen drama;25/03/2021;99;57;Italian
Christmas Inheritance;Romantic drama;15/12/2017;104;57;English
Dad Wanted;Family;11/09/2020;102;57;Spanish
El Camino Christmas;Dark comedy;08/12/2017;89;57;English
Eli;Horror;18/10/2019;98;57;English
Ginny Weds Sunny;Romantic comedy;09/10/2020;125;57;Hindi
Good Sam;Drama;16/05/2019;89;57;English
